,jpgs,cells,location,site,plot,year
40,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M12-55-2021.jpg,189607525,M,12,55,2021
41,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M12-55-202206.jpg,153818158,M,12,55,202206
42,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M12-55-202210.jpg,159867987,M,12,55,202210
43,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M12-56-2021.jpg,260202105,M,12,56,2021
44,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M12-56-202206.jpg,182403697,M,12,56,202206
45,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M12-56-202210.jpg,204684141,M,12,56,202210
46,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M12-56-20230522.jpg,193568956,M,12,56,202305
47,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M15-61-2021.jpg,253779411,M,15,61,2021
48,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M15-61-202206.jpg,221438929,M,15,61,202206
49,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M15-61-202210.jpg,223996065,M,15,61,202210
50,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M15-61-202305.jpg,197875269,M,15,61,202305
51,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M15-62-2021.jpg,219052113,M,15,62,2021
52,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M15-62-202206.jpg,182655343,M,15,62,202206
53,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M15-62-202210.jpg,179856415,M,15,62,202210
54,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M15-62-202305.jpg,167504660,M,15,62,202305
55,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M15-63-2021.jpg,218906856,M,15,63,2021
