,jpgs,cells,location,site,plot,year
172,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M74-93-202305.jpg,151603713,M,74,93,202305
173,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M74-94-2021.jpg,170926659,M,74,94,2021
174,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M74-94-202206.jpg,138273902,M,74,94,202206
175,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M74-94-202210.jpg,200934325,M,74,94,202210
176,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M74-94-202305.jpg,157703644,M,74,94,202305
177,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M74-95-2021.jpg,242740043,M,74,95,2021
178,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M74-95-202206.jpg,183559382,M,74,95,202206
179,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M74-95-202210.jpg,179242850,M,74,95,202210
180,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M74-95-202305.jpg,162417351,M,74,95,202305
181,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M74-96-2021.jpg,249757845,M,74,96,2021
182,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M74-96-202206.jpg,174475521,M,74,96,202206
183,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M74-96-202210.jpg,164497251,M,74,96,202210
184,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M74-96-202305.jpg,187586888,M,74,96,202305
