stage,fate,area1,area2,class,action,location
juvenile,juvenile,7.79,11.79,porites astreoides,grow,m
juvenile,juvenile,3.14,7.26,porites astreoides,grow,m
juvenile,juvenile,4.59,10.41,porites astreoides,grow,m
juvenile,juvenile,2.13,3.06,porites astreoides,grow,m
juvenile,juvenile,3.29,6.78,porites astreoides,grow,m
juvenile,juvenile,8.64,18.96,porites astreoides,grow,m
juvenile,juvenile,4.65,8.04,porites astreoides,grow,m
juvenile,juvenile,1.94,2.35,porites astreoides,grow,m
juvenile,juvenile,1.54,4.95,porites astreoides,grow,m
juvenile,juvenile,0.43,2.02,porites astreoides,grow,m
juvenile,juvenile,1.62,3.24,porites astreoides,grow,m
juvenile,juvenile,4.39,5.56,porites astreoides,grow,m
juvenile,juvenile,4.01,4.32,porites astreoides,grow,m
juvenile,juvenile,2.82,7.9,porites astreoides,grow,m
juvenile,juvenile,14.56,15.78,porites astreoides,grow,m
juvenile,juvenile,15.48,22.79,porites astreoides,grow,m
juvenile,juvenile,3.94,6.46,porites astreoides,grow,m
juvenile,juvenile,2.45,6.48,porites astreoides,grow,m
juvenile,juvenile,1.08,2.05,porites astreoides,grow,m
juvenile,juvenile,2.28,4.77,porites astreoides,grow,m
juvenile,juvenile,1.17,2.64,porites astreoides,grow,m
juvenile,intermediate,39.63,51.34,porites astreoides,n/s,m
juvenile,juvenile,39.63,20.57,porites astreoides,n/s,m
juvenile,intermediate,12.64,51.34,porites astreoides,n/s,m
juvenile,juvenile,12.64,20.57,porites astreoides,n/s,m
juvenile,juvenile,14.51,33.64,porites astreoides,n/s,m
juvenile,juvenile,6.34,33.64,porites astreoides,n/s,m
intermediate,intermediate,97.15,53.86,porites astreoides,n/s,m
intermediate,intermediate,97.15,50.82,porites astreoides,n/s,m
adult,adult,112.12,113.63,porites astreoides,n/s,m
intermediate,juvenile,69.54,20.48,porites astreoides,n/s,m
intermediate,juvenile,69.54,6.45,porites astreoides,n/s,m
juvenile,adult,37.6,102.69,porites astreoides,n/s,m
juvenile,juvenile,2.7,34.61,porites astreoides,n/s,m
juvenile,juvenile,2.07,34.61,porites astreoides,n/s,m
intermediate,adult,74.04,102.69,porites astreoides,n/s,m
intermediate,intermediate,74.69,70.85,porites astreoides,n/s,m
intermediate,juvenile,74.69,6.83,porites astreoides,n/s,m
intermediate,intermediate,55.03,56.05,porites astreoides,same,m
juvenile,juvenile,12.29,12.17,porites astreoides,same,m
intermediate,intermediate,61.56,62.75,porites astreoides,same,m
juvenile,juvenile,18.73,18.55,porites astreoides,same,m
intermediate,intermediate,83.86,84.01,porites astreoides,same,m
intermediate,intermediate,95.42,93.35,porites astreoides,same,m
juvenile,juvenile,41.41,42.54,porites astreoides,same,m
intermediate,intermediate,57.57,57.14,porites astreoides,same,m
adult,adult,180.19,175.58,dlab,same,m
intermediate,intermediate,58.6,58.81,porites astreoides,same,m
juvenile,juvenile,5.7,5.7,porites astreoides,same,m
juvenile,juvenile,31.46,32.99,porites astreoides,same,m
juvenile,juvenile,7.71,7.45,porites astreoides,same,m
juvenile,intermediate,48.65,50.35,porites astreoides,same,m
adult,adult,131.53,128.02,porites astreoides,same,m
juvenile,juvenile,2.47,2.46,porites astreoides,same,m
juvenile,juvenile,6.44,6.37,dlab,same,m
juvenile,juvenile,6.78,2.25,porites astreoides,shrink,m
intermediate,intermediate,72.25,54.92,porites astreoides,shrink,m
adult,adult,121.94,108.15,porites astreoides,shrink,m
adult,intermediate,132.37,86.17,porites astreoides,shrink,m
intermediate,juvenile,63.59,45.06,porites astreoides,shrink,m
juvenile,juvenile,17.37,14.69,porites astreoides,shrink,m
juvenile,juvenile,33.66,27.75,porites astreoides,shrink,m
juvenile,juvenile,19.25,16.94,porites astreoides,shrink,m
juvenile,juvenile,23.82,17.94,porites astreoides,shrink,m
adult,adult,131.5,122.06,porites astreoides,shrink,m
juvenile,juvenile,13.74,12.46,porites astreoides,shrink,m
juvenile,juvenile,28.63,25.11,porites astreoides,shrink,m
intermediate,juvenile,59.54,10.74,porites astreoides,shrink,m
juvenile,juvenile,34.37,12.56,porites astreoides,shrink,m
juvenile,juvenile,17.93,7.45,porites astreoides,shrink,m
intermediate,intermediate,68.77,58.84,porites astreoides,shrink,m
juvenile,juvenile,33.45,30.37,porites astreoides,shrink,m
juvenile,juvenile,18.36,13,porites astreoides,shrink,m
juvenile,juvenile,40.89,15.97,porites astreoides,shrink,m
intermediate,juvenile,50.75,26.57,porites astreoides,shrink,m
juvenile,juvenile,24.89,21.42,porites astreoides,shrink,m
juvenile,juvenile,33.73,22.55,porites astreoides,shrink,m
intermediate,juvenile,53.94,43.97,porites astreoides,shrink,m
juvenile,juvenile,7.87,4.94,porites astreoides,shrink,m
juvenile,juvenile,6.95,4.46,porites astreoides,shrink,m
adult,adult,182.75,164.94,porites astreoides,shrink,m
