"period","yearmonth","location","site","plot","cluster","clustersize"
"baseline",2021,"Maguey","74","93",8,1
"baseline",2021,"Maguey","74","94",1,2
"baseline",2021,"Maguey","74","94",2,1
"baseline",2021,"Maguey","74","94",3,1
"baseline",2021,"Maguey","74","94",4,2
"baseline",2021,"Maguey","74","94",5,2
"baseline",2021,"Maguey","74","94",6,1
"baseline",2021,"Maguey","74","94",7,2
"baseline",2021,"Maguey","74","94",8,1
"baseline",2021,"Maguey","74","95",1,4
"baseline",2021,"Maguey","74","95",2,2
"baseline",2021,"Maguey","74","95",3,1
"baseline",2021,"Maguey","74","95",4,2
"baseline",2021,"Maguey","74","95",5,1
"baseline",2021,"Maguey","74","95",6,4
"baseline",2021,"Maguey","74","95",7,3
"baseline",2021,"Maguey","74","95",8,1
"baseline",2021,"Maguey","74","95",9,1
"baseline",2021,"Maguey","74","95",10,2
"baseline",2021,"Maguey","74","95",11,1
"baseline",2021,"Maguey","74","95",12,3
"baseline",2021,"Maguey","74","95",13,2
"baseline",2021,"Maguey","74","95",14,2
"baseline",2021,"Maguey","74","96",1,2
"baseline",2021,"Maguey","74","96",2,1
"baseline",2021,"Maguey","74","96",3,3
"baseline",2021,"Maguey","74","96",4,2
"baseline",2021,"Maguey","74","96",5,1
"baseline",2021,"Maguey","74","96",6,2
"baseline",2021,"Maguey","74","96",7,2
"baseline",2021,"Maguey","74","96",8,2
"baseline",2021,"Maguey","74","96",9,2
"baseline",2021,"Maguey","74","96",10,2
"baseline",2021,"Maguey","74","96",11,2
"baseline",2021,"Maguey","74","96",12,2
"baseline",2021,"Maguey","74","96",13,2
"baseline",2021,"Maguey","74","96",14,2
"baseline",2021,"Maguey","74","96",15,2
"baseline",2021,"Maguey","74","96",16,2
"baseline",2021,"Maguey","74","96",17,3
"baseline",2021,"Maguey","74","96",18,2
"baseline",2021,"Maguey","74","96",19,1
"baseline",2021,"Maguey","74","96",20,1
"baseline",2021,"Maguey","74","96",21,3
"baseline",2021,"Tampico","01","14",0,0
"baseline",2021,"Tampico","01","15",1,1
"baseline",2021,"Tampico","01","15",2,2
"baseline",2021,"Tampico","01","15",3,2
"baseline",2021,"Tampico","01","15",4,2
"baseline",2021,"Tampico","01","15",5,2
"baseline",2021,"Tampico","01","15",6,2
"baseline",2021,"Tampico","01","15",7,1
"baseline",2021,"Tampico","01","15",8,1
"baseline",2021,"Tampico","01","15",9,2
"baseline",2021,"Tampico","01","15",10,1
"baseline",2021,"Tampico","01","15",11,2
"baseline",2021,"Tampico","01","15",12,2
"baseline",2021,"Tampico","01","16",0,0
"baseline",2021,"Tampico","04","05",0,0
"baseline",2021,"Tampico","04","07",1,1
"baseline",2021,"Tampico","04","07",2,1
"baseline",2021,"Tampico","04","07",3,1
"baseline",2021,"Tampico","04","08",0,0
"baseline",2021,"Tampico","20","09",1,1
"baseline",2021,"Tampico","20","10",0,0
"baseline",2021,"Tampico","20","11",1,1
"baseline",2021,"Tampico","20","11",2,2
"baseline",2021,"Tampico","20","11",3,2
"baseline",2021,"Tampico","20","11",4,1
"baseline",2021,"Tampico","20","11",5,2
"baseline",2021,"Tampico","20","12",1,1
"baseline",2021,"Tampico","20","12",2,1
"baseline",2021,"Tampico","22","33",0,0
"baseline",2021,"Tampico","22","34",0,0
"baseline",2021,"Tampico","22","35",0,0
"baseline",2021,"Tampico","22","36",1,1
"baseline",2021,"Tampico","22","36",2,1
"baseline",2021,"Tampico","23","45",1,1
"baseline",2021,"Tampico","23","45",2,2
"baseline",2021,"Tampico","23","45",3,2
"baseline",2021,"Tampico","23","45",4,3
"baseline",2021,"Tampico","23","45",5,1
"baseline",2021,"Tampico","23","45",6,1
"baseline",2021,"Tampico","23","45",7,2
"baseline",2021,"Tampico","23","45",8,2
"baseline",2021,"Tampico","23","45",9,2
"baseline",2021,"Tampico","23","45",10,1
"baseline",2021,"Tampico","23","45",11,1
"baseline",2021,"Tampico","23","45",12,2
"baseline",2021,"Tampico","23","45",13,4
"baseline",2021,"Tampico","23","46",1,1
"baseline",2021,"Tampico","23","46",2,1
"baseline",2021,"Tampico","23","46",3,4
"baseline",2021,"Tampico","23","46",4,1
"baseline",2021,"Tampico","23","47",1,1
"baseline",2021,"Tampico","23","47",2,3
"baseline",2021,"Tampico","23","47",3,1
"baseline",2021,"Tampico","23","48",1,2
"baseline",2021,"Tampico","23","48",2,2
"baseline",2021,"Tampico","23","48",3,4
"baseline",2021,"Tampico","23","48",4,4
"baseline",2021,"Tampico","23","48",5,2
"baseline",2021,"Tampico","23","48",6,2
"baseline",2021,"Tampico","23","48",7,3
"baseline",2021,"Tampico","23","48",8,1
"baseline",2021,"Tampico","23","48",9,2
"baseline",2021,"Tampico","23","48",10,2
"baseline",2021,"Tampico","23","48",11,1
"baseline",2021,"Tampico","23","48",12,2
"baseline",2021,"Tampico","23","48",13,4
"baseline",2021,"Tampico","23","48",14,2
"baseline",2021,"Tampico","23","48",15,2
"baseline",2021,"Tampico","23","48",16,1
"baseline",2021,"Tampico","23","48",17,2
"baseline",2021,"Tampico","23","48",18,4
"baseline",2021,"Tampico","23","48",19,2
"baseline",2021,"Tampico","23","48",20,2
"baseline",2021,"Tampico","23","48",21,1
"baseline",2021,"Tampico","23","48",22,3
"baseline",2021,"Tampico","23","48",23,2
"baseline",2021,"Tampico","24","29",0,0
"baseline",2021,"Tampico","24","30",0,0
"baseline",2021,"Tampico","24","31",0,0
"baseline",2021,"Tampico","24","32",0,0
"baseline",2021,"Tampico","35","01",1,1
"baseline",2021,"Tampico","35","01",2,1
"baseline",2021,"Tampico","35","02",0,0
"baseline",2021,"Tampico","35","03",1,1
"baseline",2021,"Tampico","35","03",2,1
"baseline",2021,"Tampico","35","04",1,1
"baseline",2021,"Tampico","35","04",2,1
"baseline",2021,"Tampico","35","04",3,2
"baseline",2021,"Tampico","35","04",4,1
"baseline",2021,"Tampico","35","04",5,1
"baseline",2021,"Tampico","35","04",6,2
"baseline",2021,"Tampico","35","04",7,1
"baseline",2021,"Tampico","35","04",8,1
"baseline",2021,"Tampico","37","17",0,0
"baseline",2021,"Tampico","37","18",1,2
"baseline",2021,"Tampico","37","18",2,1
"baseline",2021,"Tampico","37","18",3,1
"baseline",2021,"Tampico","37","18",4,1
"baseline",2021,"Tampico","37","19",0,0
"baseline",2021,"Tampico","37","20",1,1
"baseline",2021,"Tampico","37","20",2,1
"baseline",2021,"Tampico","37","20",3,1
"baseline",2021,"Tampico","39","37",0,0
"baseline",2021,"Tampico","39","38",0,0
"baseline",2021,"Tampico","39","39",0,0
"baseline",2021,"Tampico","39","40",1,1
"baseline",2021,"Tampico","43","21",0,0
"baseline",2021,"Tampico","43","22",0,0
"baseline",2021,"Tampico","43","23",1,1
"baseline",2021,"Tampico","43","23",2,1
"baseline",2021,"Tampico","43","23",3,2
"baseline",2021,"Tampico","43","23",4,1
"baseline",2021,"Tampico","43","23",5,1
"baseline",2021,"Tampico","43","24",0,0
"baseline",2021,"Tampico","45","25",0,0
"baseline",2021,"Tampico","45","26",0,0
"baseline",2021,"Tampico","45","27",0,0
"baseline",2021,"Tampico","45","28",0,0
"baseline",2021,"Tampico","77","41",0,0
"baseline",2021,"Tampico","77","42",0,0
"baseline",2021,"Tampico","77","43",0,0
"baseline",2021,"Tampico","77","44",0,0
"dieoff",202206,"Maguey","08","69",0,0
"dieoff",202206,"Maguey","08","70",0,0
"dieoff",202206,"Maguey","08","71",0,0
"dieoff",202206,"Maguey","08","72",0,0
