"period","location","site","plot","counts","mean_size","sd_size"
"after 6mo","Maguey","48","51",0,0,NA
"baseline","Maguey","48","51",0,0,NA
"dieoff","Maguey","48","51",0,0,NA
"after 12mo","Maguey","48","52",0,0,NA
"after 6mo","Maguey","48","52",0,0,NA
"baseline","Maguey","48","52",0,0,NA
"dieoff","Maguey","48","52",0,0,NA
"after 12mo","Maguey","73","77",1,1,NA
"after 6mo","Maguey","73","77",1,1,NA
"baseline","Maguey","73","77",27,1.88888888888889,0.751067616198811
"dieoff","Maguey","73","77",2,1,0
"after 12mo","Maguey","73","78",0,0,NA
"after 6mo","Maguey","73","78",1,1,NA
"baseline","Maguey","73","78",16,1.875,0.5
"dieoff","Maguey","73","78",0,0,NA
"after 12mo","Maguey","73","79",0,0,NA
"after 6mo","Maguey","73","79",0,0,NA
"baseline","Maguey","73","79",21,1.66666666666667,0.577350269189626
"dieoff","Maguey","73","79",0,0,NA
"after 12mo","Maguey","73","80",1,1,NA
"dieoff","Maguey","73","80",0,0,NA
"after 12mo","Maguey","74","93",0,0,NA
"after 6mo","Maguey","74","93",0,0,NA
"baseline","Maguey","74","93",8,1.375,0.517549169506766
"dieoff","Maguey","74","93",0,0,NA
"after 12mo","Maguey","74","94",1,1,NA
"after 6mo","Maguey","74","94",0,0,NA
"baseline","Maguey","74","94",8,1.5,0.534522483824849
"dieoff","Maguey","74","94",0,0,NA
"after 12mo","Maguey","74","95",0,0,NA
"after 6mo","Maguey","74","95",0,0,NA
"baseline","Maguey","74","95",14,2.07142857142857,1.07161170596054
"dieoff","Maguey","74","95",0,0,NA
"after 12mo","Maguey","74","96",1,1,NA
"after 6mo","Maguey","74","96",0,0,NA
"baseline","Maguey","74","96",21,1.95238095238095,0.589592272353571
"dieoff","Maguey","74","96",0,0,NA
"after 12mo","Tampico","01","14",0,0,NA
"after 6mo","Tampico","01","14",0,0,NA
"baseline","Tampico","01","14",0,0,NA
"dieoff","Tampico","01","14",0,0,NA
"after 12mo","Tampico","01","15",1,2,NA
"after 6mo","Tampico","01","15",0,0,NA
"baseline","Tampico","01","15",12,1.66666666666667,0.492365963917331
"dieoff","Tampico","01","15",0,0,NA
"after 12mo","Tampico","01","16",0,0,NA
"after 6mo","Tampico","01","16",0,0,NA
"baseline","Tampico","01","16",0,0,NA
"dieoff","Tampico","01","16",1,1,NA
"after 12mo","Tampico","04","05",0,0,NA
"after 6mo","Tampico","04","05",0,0,NA
"baseline","Tampico","04","05",0,0,NA
"dieoff","Tampico","04","05",0,0,NA
"after 12mo","Tampico","04","06",0,0,NA
"after 6mo","Tampico","04","06",0,0,NA
"dieoff","Tampico","04","06",1,1,NA
"after 12mo","Tampico","04","07",0,0,NA
"after 6mo","Tampico","04","07",0,0,NA
"baseline","Tampico","04","07",3,1,0
"dieoff","Tampico","04","07",0,0,NA
"after 12mo","Tampico","04","08",0,0,NA
"after 6mo","Tampico","04","08",0,0,NA
"baseline","Tampico","04","08",0,0,NA
"dieoff","Tampico","04","08",0,0,NA
"after 12mo","Tampico","20","09",0,0,NA
"after 6mo","Tampico","20","09",0,0,NA
"baseline","Tampico","20","09",1,1,NA
"dieoff","Tampico","20","09",1,1,NA
"after 12mo","Tampico","20","10",0,0,NA
"after 6mo","Tampico","20","10",0,0,NA
"baseline","Tampico","20","10",0,0,NA
"dieoff","Tampico","20","10",1,1,NA
