stage,fate,area1,area2,class,action,location
adult,adult,108.33,121.94,porites astreoides,grow,m
juvenile,juvenile,16.29,18.59,porites astreoides,grow,m
adult,adult,166.04,190.72,porites astreoides,grow,m
juvenile,juvenile,12.01,19.25,porites astreoides,grow,m
juvenile,juvenile,15.28,23.82,porites astreoides,grow,m
juvenile,juvenile,2.66,2.8,porites astreoides,grow,m
juvenile,juvenile,3.02,6.53,porites astreoides,grow,m
juvenile,intermediate,49.58,61.56,porites astreoides,grow,m
juvenile,intermediate,42,50.61,porites astreoides,grow,m
juvenile,juvenile,40.32,47.2,porites astreoides,grow,m
juvenile,juvenile,18.94,22.5,porites astreoides,grow,m
juvenile,juvenile,5.88,10.7,porites astreoides,grow,m
juvenile,juvenile,1.71,2.07,porites astreoides,grow,m
juvenile,juvenile,34.4,49.5,porites astreoides,grow,m
juvenile,juvenile,3.17,5.65,porites astreoides,grow,m
juvenile,juvenile,2.91,5.35,porites astreoides,grow,m
juvenile,juvenile,8.96,22.6,porites astreoides,grow,m
juvenile,juvenile,1.06,3.34,porites astreoides,grow,m
juvenile,juvenile,4.72,7.71,porites astreoides,grow,m
juvenile,juvenile,19.99,26.54,porites astreoides,grow,m
juvenile,juvenile,7.48,9.44,porites astreoides,grow,m
juvenile,juvenile,1.97,3.13,porites astreoides,grow,m
juvenile,juvenile,19.26,28.89,porites astreoides,grow,m
juvenile,juvenile,19.18,23.61,porites astreoides,grow,m
juvenile,juvenile,6.39,9.39,porites astreoides,grow,m
juvenile,juvenile,12.55,22.85,porites astreoides,grow,m
juvenile,juvenile,24.22,31.52,porites astreoides,grow,m
juvenile,juvenile,4.76,7.86,porites astreoides,grow,m
juvenile,juvenile,9.59,13.74,porites astreoides,grow,m
juvenile,juvenile,8.92,16.46,porites astreoides,grow,m
juvenile,intermediate,32.37,59.54,porites astreoides,grow,m
juvenile,intermediate,48.19,62.8,porites astreoides,grow,m
juvenile,juvenile,11.03,19.19,porites astreoides,grow,m
juvenile,juvenile,8.5,15.65,porites astreoides,grow,m
juvenile,juvenile,12.57,13.36,porites astreoides,grow,m
juvenile,juvenile,8.37,21.35,porites astreoides,grow,m
juvenile,juvenile,11.73,34.04,porites astreoides,grow,m
juvenile,juvenile,32.41,34.37,porites astreoides,grow,m
juvenile,juvenile,8.29,17.8,porites astreoides,grow,m
juvenile,juvenile,7.71,18.26,porites astreoides,grow,m
intermediate,intermediate,56.22,63.29,porites astreoides,grow,m
juvenile,juvenile,3.53,7.43,porites astreoides,grow,m
juvenile,juvenile,3.19,4.16,porites astreoides,grow,m
juvenile,intermediate,47.44,50.75,porites astreoides,grow,m
adult,adult,157.99,182.75,porites astreoides,grow,m
juvenile,juvenile,41.26,49.97,porites astreoides,grow,m
juvenile,juvenile,17.81,18.73,porites astreoides,grow,m
juvenile,juvenile,3.45,3.65,porites astreoides,grow,m
juvenile,juvenile,12.76,21.09,porites astreoides,grow,m
juvenile,intermediate,43.2,53.11,porites astreoides,grow,m
juvenile,intermediate,45.12,69.54,porites astreoides,grow,m
juvenile,juvenile,10.27,25.91,porites astreoides,grow,m
juvenile,intermediate,29.05,57.57,porites astreoides,grow,m
adult,adult,100.47,112.12,porites astreoides,grow,m
juvenile,intermediate,35.96,65.35,porites astreoides,grow,m
juvenile,juvenile,32.86,41.41,porites astreoides,grow,m
juvenile,juvenile,8,16.05,porites astreoides,grow,m
juvenile,intermediate,38.89,53.94,porites astreoides,grow,m
juvenile,juvenile,39.28,48.65,porites astreoides,grow,m
juvenile,juvenile,20.66,28.05,porites astreoides,grow,m
juvenile,juvenile,4.96,33.45,porites astreoides,grow,m
juvenile,intermediate,29.17,60.74,porites astreoides,grow,m
juvenile,juvenile,26.49,33.73,porites astreoides,grow,m
juvenile,juvenile,13.99,23.6,porites astreoides,grow,m
juvenile,juvenile,38.17,44.99,porites astreoides,grow,m
intermediate,adult,99.12,110.46,porites astreoides,grow,m
juvenile,juvenile,18.06,24.89,porites astreoides,grow,m
intermediate,intermediate,82.45,95.42,porites astreoides,grow,m
juvenile,juvenile,2.31,2.7,porites astreoides,grow,m
juvenile,juvenile,16.79,26.41,porites astreoides,grow,m
juvenile,juvenile,14.09,26.04,porites astreoides,grow,m
juvenile,juvenile,15.79,18.74,porites astreoides,grow,m
juvenile,juvenile,9.33,12.69,porites astreoides,grow,m
juvenile,juvenile,2.76,6.98,porites astreoides,grow,m
juvenile,juvenile,5.67,8.26,porites astreoides,grow,m
intermediate,intermediate,53.89,64.02,porites astreoides,grow,m
juvenile,juvenile,5.67,6.03,porites astreoides,grow,m
juvenile,intermediate,44.53,64.91,porites astreoides,grow,m
juvenile,juvenile,6.48,15.95,porites astreoides,grow,m
juvenile,intermediate,24.47,61.76,porites astreoides,grow,m
juvenile,juvenile,16.83,20.66,porites astreoides,grow,m
juvenile,juvenile,30.41,49.8,porites astreoides,grow,m
juvenile,juvenile,4.95,7.79,porites astreoides,grow,m
juvenile,juvenile,17.71,26.92,porites astreoides,grow,m
intermediate,intermediate,54.3,66.74,porites astreoides,grow,m
intermediate,intermediate,61.08,72.3,porites astreoides,grow,m
juvenile,juvenile,15.06,19.08,porites astreoides,grow,m
juvenile,juvenile,12.43,24.31,porites astreoides,grow,m
juvenile,juvenile,17.65,43.56,porites astreoides,grow,m
juvenile,juvenile,6.22,14.53,porites astreoides,grow,m
juvenile,juvenile,10.87,16.4,porites astreoides,grow,m
intermediate,adult,98.25,131.53,porites astreoides,grow,m
juvenile,juvenile,7.69,13.72,porites astreoides,grow,m
intermediate,intermediate,69.99,74.91,porites astreoides,grow,m
juvenile,juvenile,4.06,4.59,porites astreoides,grow,m
adult,adult,103.55,115.21,porites astreoides,grow,m
juvenile,intermediate,48.15,53.78,porites astreoides,grow,m
juvenile,juvenile,19.65,31.46,porites astreoides,grow,m
intermediate,intermediate,72.85,90.25,porites astreoides,grow,m
intermediate,intermediate,62.33,80.96,porites astreoides,grow,m
adult,juvenile,107.76,17.37,porites astreoides,n/s,m
adult,juvenile,107.76,10.34,porites astreoides,n/s,m
juvenile,intermediate,30.1,63.59,porites astreoides,n/s,m
juvenile,intermediate,15.72,63.59,porites astreoides,n/s,m
juvenile,intermediate,40.23,97.15,porites astreoides,n/s,m
juvenile,intermediate,33.3,97.15,porites astreoides,n/s,m
juvenile,juvenile,3.96,40.89,porites astreoides,n/s,m
juvenile,juvenile,3.96,7.16,porites astreoides,n/s,m
juvenile,intermediate,24.8,50.81,porites astreoides,n/s,m
juvenile,intermediate,16.65,50.81,porites astreoides,n/s,m
juvenile,juvenile,5.42,11.36,porites astreoides,n/s,m
juvenile,juvenile,21.23,38.1,porites astreoides,n/s,m
juvenile,juvenile,2.73,38.1,porites astreoides,n/s,m
juvenile,juvenile,38.04,39.25,porites astreoides,n/s,m
juvenile,juvenile,11.6,39.25,porites astreoides,n/s,m
juvenile,juvenile,45.33,43.74,porites astreoides,same,m
juvenile,juvenile,5.02,5.19,porites astreoides,same,m
juvenile,juvenile,6.54,6.42,porites astreoides,same,m
juvenile,juvenile,39.24,37.6,porites astreoides,same,m
juvenile,juvenile,36.41,34.93,porites astreoides,same,m
juvenile,juvenile,39.8,40.66,porites astreoides,same,m
juvenile,juvenile,33.01,34.57,porites astreoides,same,m
adult,adult,138.56,139.78,porites astreoides,same,m
juvenile,juvenile,7.69,7.79,porites astreoides,same,m
juvenile,juvenile,9.94,6.78,porites astreoides,shrink,m
intermediate,intermediate,87.27,72.25,porites astreoides,shrink,m
intermediate,intermediate,68.95,55.03,porites astreoides,shrink,m
juvenile,juvenile,25.08,19.62,porites astreoides,shrink,m
juvenile,juvenile,22.88,10.18,porites astreoides,shrink,m
juvenile,juvenile,18.99,14.43,porites astreoides,shrink,m
juvenile,juvenile,16.84,12.29,porites astreoides,shrink,m
adult,adult,142.47,132.37,porites astreoides,shrink,m
juvenile,juvenile,1.29,1.08,porites astreoides,shrink,m
intermediate,intermediate,83.36,74.04,porites astreoides,shrink,m
adult,adult,153.02,131.5,porites astreoides,shrink,m
juvenile,juvenile,2.28,1.44,porites astreoides,shrink,m
juvenile,juvenile,38.28,28.63,porites astreoides,shrink,m
juvenile,juvenile,25.72,7.44,porites astreoides,shrink,m
juvenile,juvenile,37.6,17.93,porites astreoides,shrink,m
adult,adult,200.95,180.19,dlab,shrink,m
juvenile,juvenile,3.36,2.47,porites astreoides,shrink,m
adult,intermediate,137.97,99.77,porites astreoides,shrink,m
juvenile,juvenile,10.35,8.54,porites astreoides,shrink,m
juvenile,juvenile,44.04,15.14,porites astreoides,shrink,m
juvenile,juvenile,23.41,20.12,dlab,shrink,m
juvenile,juvenile,29.21,6.44,dlab,shrink,m
adult,intermediate,120.11,93.13,porites astreoides,shrink,m
intermediate,juvenile,69.85,31.16,porites astreoides,shrink,m
adult,intermediate,114.26,98.91,porites astreoides,shrink,m
juvenile,juvenile,27.44,23.77,porites astreoides,shrink,m
intermediate,intermediate,63.57,58.6,porites astreoides,shrink,m
juvenile,juvenile,30.41,24.83,porites astreoides,shrink,m
juvenile,juvenile,21.93,18.12,porites astreoides,shrink,m
intermediate,intermediate,86.73,74.69,porites astreoides,shrink,m
intermediate,intermediate,76.53,61.91,porites astreoides,shrink,m
juvenile,juvenile,5.39,4.11,porites astreoides,shrink,m
juvenile,juvenile,11.75,9.22,porites astreoides,shrink,m
juvenile,juvenile,34.95,2.14,porites astreoides,shrink,m
juvenile,juvenile,26.7,25.22,porites astreoides,shrink,m
juvenile,juvenile,48.03,42.18,porites astreoides,shrink,m
juvenile,juvenile,14.31,11.7,porites astreoides,shrink,m
juvenile,juvenile,7.06,6.53,porites astreoides,shrink,m
intermediate,juvenile,59.87,42.84,porites astreoides,shrink,m
juvenile,juvenile,22.13,8.81,porites astreoides,shrink,m
juvenile,juvenile,11.27,10.73,porites astreoides,shrink,m
juvenile,juvenile,15.54,3.14,porites astreoides,shrink,m
adult,intermediate,113.55,83.86,porites astreoides,shrink,m
NA,juvenile,0,3.48,porites astreoides,born,m
NA,juvenile,0,2.06,porites astreoides,born,m
NA,juvenile,0,2.13,porites astreoides,born,m
NA,juvenile,0,3.37,porites astreoides,born,m
NA,juvenile,0,1.29,porites astreoides,born,m
NA,juvenile,0,2.85,porites astreoides,born,m
NA,juvenile,0,2.26,porites astreoides,born,m
NA,juvenile,0,3.92,porites astreoides,born,m
NA,juvenile,0,2.06,porites astreoides,born,m
NA,juvenile,0,2.61,porites astreoides,born,m
NA,juvenile,0,1.16,porites astreoides,born,m
NA,juvenile,0,2.6,porites astreoides,born,m
NA,juvenile,0,2.27,porites astreoides,born,m
NA,juvenile,0,2.47,porites astreoides,born,m
NA,juvenile,0,3.4,porites astreoides,born,m
NA,juvenile,0,1.43,porites astreoides,born,m
NA,juvenile,0,1.36,porites astreoides,born,m
NA,juvenile,0,2.36,porites astreoides,born,m
NA,juvenile,0,1.97,porites astreoides,born,m
adult,dead,211.26,0,dlab,dead,m
juvenile,dead,25.09,0,porites astreoides,dead,m
juvenile,dead,20.39,0,porites astreoides,dead,m
juvenile,dead,25.74,0,porites astreoides,dead,m
juvenile,dead,21.15,0,porites astreoides,dead,m
intermediate,adult,95.51,109.84,porites astreoides,grow,m
juvenile,juvenile,19.5,34.94,porites astreoides,grow,m
juvenile,intermediate,46.13,51.67,porites astreoides,grow,m
juvenile,juvenile,16.44,19.13,porites astreoides,grow,m
adult,adult,112.16,123.72,porites astreoides,grow,m
juvenile,juvenile,11.11,13.41,porites astreoides,grow,m
juvenile,juvenile,13.73,19.21,porites astreoides,grow,m
juvenile,intermediate,32.62,79.26,porites astreoides,grow,m
juvenile,juvenile,11.39,14.41,porites astreoides,grow,m
intermediate,adult,84.81,113.88,porites astreoides,grow,m
juvenile,juvenile,11.88,16.48,porites astreoides,grow,m
juvenile,juvenile,18.38,25.03,porites astreoides,grow,m
juvenile,juvenile,14.89,23.75,porites astreoides,grow,m
juvenile,juvenile,22.76,32.58,porites astreoides,grow,m
juvenile,juvenile,9.82,11.55,porites astreoides,grow,m
juvenile,intermediate,40.39,67.7,porites astreoides,grow,m
juvenile,juvenile,25.59,38.95,porites astreoides,grow,m
juvenile,juvenile,25.13,30.32,porites astreoides,grow,m
adult,adult,116.13,150.71,porites astreoides,grow,m
juvenile,juvenile,10.26,19.02,porites astreoides,grow,m
juvenile,juvenile,34.95,43.63,porites astreoides,grow,m
juvenile,juvenile,35.84,45.55,porites astreoides,grow,m
juvenile,juvenile,37.53,42.8,porites astreoides,grow,m
juvenile,juvenile,19.04,34.64,porites astreoides,grow,m
juvenile,juvenile,40.53,48.98,porites astreoides,grow,m
juvenile,intermediate,46.8,62.75,porites astreoides,grow,m
intermediate,intermediate,79.56,94.94,porites astreoides,grow,m
juvenile,juvenile,34.23,40.09,porites astreoides,grow,m
adult,adult,109.99,134.39,porites astreoides,grow,m
juvenile,juvenile,13.61,25.99,porites astreoides,grow,m
juvenile,juvenile,4.8,12.72,porites astreoides,grow,m
adult,adult,133.94,182.31,porites astreoides,grow,m
juvenile,juvenile,21.57,29.46,porites astreoides,grow,m
juvenile,juvenile,4.68,8.93,porites astreoides,grow,m
juvenile,juvenile,18.5,22.85,porites astreoides,grow,m
juvenile,juvenile,33.44,46.86,porites astreoides,grow,m
adult,adult,139.72,154.78,porites astreoides,grow,m
juvenile,intermediate,47.51,55.55,porites astreoides,grow,m
juvenile,juvenile,0.7,2.09,porites astreoides,grow,m
juvenile,juvenile,10.04,14.5,porites astreoides,grow,m
juvenile,intermediate,36.05,51.4,porites astreoides,grow,m
juvenile,juvenile,2.9,9.04,porites astreoides,grow,m
juvenile,juvenile,10.19,14.31,porites astreoides,grow,m
intermediate,intermediate,55.73,61.22,porites astreoides,grow,m
juvenile,juvenile,25.3,27.94,porites astreoides,grow,m
juvenile,juvenile,2.46,6.55,porites astreoides,grow,m
juvenile,juvenile,1.08,3.6,porites astreoides,grow,m
juvenile,juvenile,3.96,10.07,porites astreoides,grow,m
juvenile,juvenile,19.9,24.97,porites astreoides,grow,m
juvenile,juvenile,18.18,25,porites astreoides,grow,m
juvenile,juvenile,4.25,8.84,porites astreoides,grow,m
juvenile,juvenile,8.35,16.93,porites astreoides,grow,m
juvenile,juvenile,22.29,29.42,porites astreoides,grow,m
juvenile,juvenile,11.25,22.07,porites astreoides,grow,m
juvenile,juvenile,27.22,33.83,porites astreoides,grow,m
juvenile,juvenile,17.27,27.9,porites astreoides,grow,m
juvenile,juvenile,15.93,40.27,porites astreoides,grow,m
juvenile,juvenile,6.6,7.15,porites astreoides,grow,m
juvenile,juvenile,6.24,10.96,porites astreoides,grow,m
juvenile,juvenile,4.68,11.44,porites astreoides,grow,m
juvenile,juvenile,34.27,47.24,porites astreoides,n/s,m
juvenile,juvenile,20.73,23.72,porites astreoides,n/s,m
juvenile,juvenile,20.73,8.66,porites astreoides,n/s,m
juvenile,juvenile,49.2,24.28,porites astreoides,n/s,m
juvenile,juvenile,49.2,22.8,porites astreoides,n/s,m
juvenile,juvenile,2.5,47.24,porites astreoides,n/s,m
juvenile,juvenile,22.53,9.42,porites astreoides,n/s,m
juvenile,juvenile,22.53,6.02,porites astreoides,n/s,m
intermediate,intermediate,78,81.4,porites astreoides,same,m
adult,intermediate,101.02,97.14,porites astreoides,same,m
juvenile,juvenile,11.46,11.21,porites astreoides,same,m
intermediate,intermediate,82.77,85.29,porites astreoides,same,m
juvenile,juvenile,20.92,20.05,porites astreoides,same,m
juvenile,juvenile,13.92,14.1,porites astreoides,same,m
intermediate,intermediate,71.73,69.86,porites astreoides,same,m
adult,adult,212.95,212.6,porites astreoides,same,m
intermediate,intermediate,80.88,79.73,porites astreoides,same,m
intermediate,intermediate,58.73,58.12,porites astreoides,same,m
juvenile,juvenile,41.46,34.66,porites astreoides,shrink,m
adult,adult,406.31,363.05,porites astreoides,shrink,m
intermediate,intermediate,86.8,69.03,porites astreoides,shrink,m
juvenile,juvenile,25.07,18.57,porites astreoides,shrink,m
juvenile,juvenile,10.34,3.88,porites astreoides,shrink,m
juvenile,juvenile,31.93,23.42,porites astreoides,shrink,m
juvenile,juvenile,49.34,40.41,porites astreoides,shrink,m
juvenile,juvenile,2.77,2.35,porites astreoides,shrink,m
juvenile,juvenile,3.52,2.7,porites astreoides,shrink,m
juvenile,juvenile,21.36,13.21,porites astreoides,shrink,m
adult,adult,189.05,123.14,dlab,shrink,m
juvenile,juvenile,34.32,25.46,porites astreoides,shrink,m
juvenile,juvenile,47.38,36.15,porites astreoides,shrink,m
intermediate,juvenile,68.33,28.41,porites astreoides,shrink,m
juvenile,juvenile,49.41,30.73,porites astreoides,shrink,m
juvenile,juvenile,23.14,21.37,porites astreoides,shrink,m
juvenile,juvenile,23.1,16.58,porites astreoides,shrink,m
NA,juvenile,0,1.42,porites astreoides,born,m
NA,juvenile,0,1.4,porites astreoides,born,m
NA,juvenile,0,2.66,porites astreoides,born,m
NA,juvenile,0,2.02,porites astreoides,born,m
NA,juvenile,0,1.82,porites astreoides,born,m
NA,juvenile,0,0.76,porites astreoides,born,m
NA,juvenile,0,2.02,porites astreoides,born,m
NA,juvenile,0,2.48,porites astreoides,born,m
NA,juvenile,0,2.03,porites astreoides,born,m
NA,juvenile,0,2.45,porites astreoides,born,m
NA,juvenile,0,2.01,porites astreoides,born,m
NA,juvenile,0,2.02,porites astreoides,born,m
adult,dead,425.5,0,dlab,dead,m
juvenile,dead,28.51,0,porites astreoides,dead,m
intermediate,dead,97.43,0,porites astreoides,dead,m
juvenile,juvenile,12.53,21.81,porites astreoides,grow,m
juvenile,intermediate,30.42,55.2,porites astreoides,grow,m
adult,adult,121.6,141.66,porites astreoides,grow,m
juvenile,juvenile,7.98,29.33,porites astreoides,grow,m
juvenile,intermediate,36.68,52.88,porites astreoides,grow,m
juvenile,intermediate,45.81,87.5,porites astreoides,grow,m
juvenile,juvenile,17.78,30.21,porites astreoides,grow,m
juvenile,juvenile,1.56,2.74,porites astreoides,grow,m
juvenile,juvenile,4.08,9.18,porites astreoides,grow,m
adult,adult,147.13,158.89,porites astreoides,grow,m
juvenile,juvenile,6.61,11.03,porites astreoides,grow,m
juvenile,juvenile,38.5,49.97,porites astreoides,grow,m
juvenile,juvenile,18.17,29.54,porites astreoides,grow,m
juvenile,juvenile,7.16,9.28,porites astreoides,grow,m
juvenile,juvenile,3,6.55,porites astreoides,grow,m
adult,adult,285.55,322.67,porites astreoides,grow,m
juvenile,juvenile,17.65,20.27,porites astreoides,grow,m
juvenile,intermediate,38.58,68.6,porites astreoides,grow,m
intermediate,intermediate,56.04,60.42,porites astreoides,grow,m
juvenile,juvenile,1.27,2.45,porites astreoides,grow,m
intermediate,intermediate,67.34,97.86,porites astreoides,grow,m
intermediate,intermediate,54.72,75.62,porites astreoides,grow,m
intermediate,intermediate,55.85,60.84,porites astreoides,grow,m
juvenile,intermediate,46.76,75.7,porites astreoides,grow,m
juvenile,intermediate,42.52,56.5,porites astreoides,grow,m
intermediate,intermediate,55.02,79.7,porites astreoides,grow,m
adult,adult,230.73,257.25,porites astreoides,grow,m
juvenile,juvenile,17.82,30.23,porites astreoides,grow,m
juvenile,juvenile,3.49,5.38,porites astreoides,grow,m
juvenile,juvenile,10.68,23.51,porites astreoides,grow,m
juvenile,juvenile,1.43,3.29,porites astreoides,grow,m
juvenile,juvenile,4.16,5.93,porites astreoides,grow,m
juvenile,juvenile,1.63,2.08,porites astreoides,grow,m
juvenile,juvenile,2.41,11.8,porites astreoides,grow,m
juvenile,juvenile,1.75,3.13,porites astreoides,grow,m
juvenile,intermediate,36.76,55.28,porites astreoides,grow,m
intermediate,intermediate,64.95,72.15,dlab,grow,m
juvenile,juvenile,7.35,10.07,porites astreoides,grow,m
juvenile,juvenile,16.5,25.19,porites astreoides,grow,m
juvenile,juvenile,9.95,28.42,porites astreoides,grow,m
juvenile,juvenile,2.34,4.23,porites astreoides,grow,m
juvenile,juvenile,7.66,10.61,porites astreoides,grow,m
intermediate,intermediate,66.52,99.79,porites astreoides,grow,m
juvenile,intermediate,44.76,86.06,porites astreoides,grow,m
juvenile,intermediate,38.39,64.88,porites astreoides,grow,m
juvenile,juvenile,4.19,25.01,porites astreoides,grow,m
juvenile,juvenile,4.88,11.42,porites astreoides,grow,m
intermediate,intermediate,51.91,75.15,porites astreoides,grow,m
juvenile,juvenile,19.02,29.7,porites astreoides,grow,m
intermediate,intermediate,57.44,63.72,porites astreoides,grow,m
juvenile,juvenile,15.04,18.55,porites astreoides,grow,m
intermediate,intermediate,68.92,72.74,porites astreoides,grow,m
juvenile,juvenile,17.23,21.34,porites astreoides,grow,m
juvenile,juvenile,25.7,31.22,porites astreoides,grow,m
intermediate,intermediate,75.22,92.11,porites astreoides,grow,m
juvenile,juvenile,26.41,30.48,porites astreoides,grow,m
juvenile,intermediate,32.2,54.88,porites astreoides,grow,m
juvenile,juvenile,32.23,43.54,porites astreoides,grow,m
juvenile,juvenile,29.26,31.22,porites astreoides,grow,m
intermediate,intermediate,57.39,94.73,porites astreoides,grow,m
juvenile,intermediate,25.93,51.62,porites astreoides,grow,m
adult,adult,106.93,112.5,porites astreoides,grow,m
juvenile,juvenile,27.1,36.63,porites astreoides,grow,m
juvenile,juvenile,6.9,11.11,porites astreoides,n/s,m
juvenile,juvenile,2.7,11.11,porites astreoides,n/s,m
intermediate,juvenile,84.49,16.52,porites astreoides,n/s,m
intermediate,intermediate,84.49,54.99,porites astreoides,n/s,m
juvenile,intermediate,9.55,96.7,porites astreoides,n/s,m
intermediate,intermediate,75.8,96.7,porites astreoides,n/s,m
juvenile,juvenile,46.82,46.4,porites astreoides,same,m
juvenile,juvenile,24.49,23.36,porites astreoides,same,m
adult,adult,235.79,239.2,porites astreoides,same,m
juvenile,juvenile,45.77,46.73,porites astreoides,same,m
adult,adult,140.63,143.2,porites astreoides,same,m
juvenile,juvenile,34.23,33.89,porites astreoides,same,m
intermediate,intermediate,68.88,67.76,porites astreoides,same,m
juvenile,juvenile,28.49,29.6,porites astreoides,same,m
juvenile,juvenile,46.79,47.38,porites astreoides,same,m
juvenile,juvenile,26.91,26.71,porites astreoides,same,m
adult,adult,172.73,178.77,porites astreoides,same,m
juvenile,juvenile,5.89,5.73,porites astreoides,same,m
intermediate,intermediate,62.74,62.87,porites astreoides,same,m
juvenile,juvenile,28.66,29.69,porites astreoides,same,m
adult,adult,260.89,147.26,porites astreoides,shrink,m
adult,adult,135.15,122.66,porites astreoides,shrink,m
intermediate,intermediate,85.54,52.71,porites astreoides,shrink,m
juvenile,juvenile,20.03,13.91,porites astreoides,shrink,m
juvenile,juvenile,20.03,8.17,porites astreoides,shrink,m
juvenile,juvenile,17.53,5.53,porites astreoides,shrink,m
juvenile,juvenile,48.88,36.31,porites astreoides,shrink,m
juvenile,juvenile,45.75,3.74,porites astreoides,shrink,m
intermediate,intermediate,92.51,80.66,porites astreoides,shrink,m
adult,juvenile,244.03,38.66,porites astreoides,shrink,m
juvenile,juvenile,31.08,8.92,porites astreoides,shrink,m
juvenile,juvenile,13.4,5.16,porites astreoides,shrink,m
adult,adult,148.17,123.26,porites astreoides,shrink,m
intermediate,juvenile,51.28,45.51,porites astreoides,shrink,m
juvenile,juvenile,9.45,7.36,porites astreoides,shrink,m
juvenile,juvenile,49.22,13.43,porites astreoides,shrink,m
intermediate,juvenile,50.65,43.38,porites astreoides,shrink,m
adult,adult,169.34,123.91,porites astreoides,shrink,m
juvenile,juvenile,7.51,4.75,porites astreoides,shrink,m
juvenile,juvenile,41.17,31.12,porites astreoides,shrink,m
juvenile,juvenile,7.77,4.35,porites astreoides,shrink,m
adult,adult,120.11,110.87,porites astreoides,shrink,m
adult,adult,177.93,152.22,porites astreoides,shrink,m
intermediate,juvenile,62.5,49.4,porites astreoides,shrink,m
juvenile,juvenile,23.86,19.38,porites astreoides,shrink,m
juvenile,juvenile,30.92,19.21,porites astreoides,shrink,m
NA,juvenile,0,2.45,porites astreoides,born,m
NA,juvenile,0,2.18,porites astreoides,born,m
NA,juvenile,0,2.27,porites astreoides,born,m
NA,juvenile,0,2.61,porites astreoides,born,m
NA,juvenile,0,2.6,porites astreoides,born,m
NA,juvenile,0,2.78,porites astreoides,born,m
NA,juvenile,0,2.48,porites astreoides,born,m
juvenile,dead,4.58,0,porites astreoides,dead,m
juvenile,juvenile,4.93,11.32,porites astreoides,grow,m
juvenile,juvenile,16.05,30.45,porites astreoides,grow,m
intermediate,adult,94.58,106.87,dlab,grow,m
intermediate,intermediate,52.35,72.63,porites astreoides,grow,m
juvenile,juvenile,1.81,4.34,porites astreoides,grow,m
juvenile,juvenile,4.26,14.89,porites astreoides,grow,m
adult,adult,102.92,111.44,dlab,grow,m
juvenile,juvenile,33,38.72,porites astreoides,grow,m
adult,adult,152.6,183.4,porites astreoides,grow,m
adult,adult,165.38,218.27,porites astreoides,grow,m
adult,adult,114.7,154.77,porites astreoides,grow,m
intermediate,intermediate,60.57,64.61,porites astreoides,grow,m
juvenile,juvenile,11.45,12.7,porites astreoides,grow,m
adult,adult,369.82,475.08,porites astreoides,grow,m
intermediate,adult,96.05,125.91,porites astreoides,grow,m
