stage,fate,area1,area2,class,action,location
NA,juvenile,0,2.06,porites astreoides,born,m
NA,juvenile,0,2.47,porites astreoides,born,m
NA,juvenile,0,1.48,porites astreoides,born,m
NA,juvenile,0,2.64,porites astreoides,born,m
NA,juvenile,0,1.61,porites astreoides,born,m
NA,juvenile,0,1.94,empty,born,m
NA,juvenile,0,1.54,empty,born,m
NA,juvenile,0,0.43,empty,born,m
NA,juvenile,0,1.62,empty,born,m
NA,juvenile,0,2.28,empty,born,m
NA,juvenile,0,1.17,empty,born,m
juvenile,dead,9.33,0,porites astreoides,dead,m
juvenile,dead,8.27,0,porites astreoides,dead,m
juvenile,dead,2.02,0,porites astreoides,dead,m
juvenile,dead,1.82,0,porites astreoides,dead,m
juvenile,dead,1.81,0,porites astreoides,dead,m
juvenile,dead,2.78,0,porites astreoides,dead,m
juvenile,dead,8.1,0,porites astreoides,dead,m
juvenile,dead,3.79,0,porites astreoides,dead,m
juvenile,dead,1.7,0,porites astreoides,dead,m
juvenile,dead,3.18,0,porites astreoides,dead,m
juvenile,dead,42.33,0,porites astreoides,dead,m
juvenile,dead,3.28,0,porites astreoides,dead,m
adult,dead,106.92,0,porites astreoides,dead,m
juvenile,dead,29.68,0,porites astreoides,dead,m
juvenile,dead,1.78,0,porites astreoides,dead,m
juvenile,dead,27.79,0,porites astreoides,dead,m
juvenile,dead,6.54,0,porites astreoides,dead,m
juvenile,dead,11.75,0,porites astreoides,dead,m
juvenile,dead,41.7,0,porites astreoides,dead,m
juvenile,dead,19.19,0,porites astreoides,dead,m
adult,dead,118.84,0,porites astreoides,dead,m
intermediate,intermediate,50.2,68.77,porites astreoides,grow,m
juvenile,juvenile,7.5,8.64,porites astreoides,grow,m
juvenile,juvenile,3.24,6.95,porites astreoides,grow,m
juvenile,juvenile,3.9,7.82,porites astreoides,grow,m
juvenile,juvenile,4.73,10.66,porites astreoides,grow,m
juvenile,juvenile,23.15,30.6,porites astreoides,grow,m
juvenile,juvenile,20.17,32.69,porites astreoides,grow,m
juvenile,juvenile,5.11,10.81,porites astreoides,grow,m
juvenile,juvenile,25.26,32.32,porites astreoides,grow,m
intermediate,intermediate,55.11,60.09,porites astreoides,grow,m
juvenile,juvenile,19.21,25.41,porites astreoides,grow,m
intermediate,intermediate,70.19,82.91,porites astreoides,grow,m
juvenile,juvenile,23.36,33.66,porites astreoides,grow,m
juvenile,juvenile,27.4,39.63,porites astreoides,grow,m
juvenile,juvenile,3.79,6.34,porites astreoides,grow,m
juvenile,juvenile,4.34,12.64,porites astreoides,grow,m
intermediate,intermediate,75.79,88.72,porites astreoides,grow,m
