location,site,plot,scale,resolution,ca,clumpy,enn_mn,gyrate_mn,lpi,np,period
M,8,69,1168.2636,0.0017119424075183033,0.6869963589490685,0.9836248301586391,0.3887666481851559,0.040771817364280163,0.03323868321357076,57,baseline
M,8,69,1130.9358,0.0017684469799258279,1.865856567505331,0.9804387323079345,0.2408063888295592,0.043065155014870994,0.05135299693643056,152,dieoff
M,8,69,1040.0488,0.0019229866906245168,2.2549178175405853,0.9711259626021995,0.1125159806884458,0.03979383041177526,0.07028164569784681,214,after 6mo
M,8,69,1180.3757,0.0016943757822191696,0.045742197739411315,0.9711278129434505,0.6639660648013175,0.02472177991303664,0.01709631107588767,12,after 12mo
M,8,70,1137.768,0.001757827606330992,1.1288419574297677,0.979700933677893,0.34987083527692847,0.038577055395081626,0.04142965630435315,112,baseline
M,8,70,1039.623,0.0019237742912575038,1.055476620315042,0.9799905663477189,0.4101584493416295,0.042256860727766264,0.03928387802689705,90,dieoff
M,8,70,1121.338,0.001783583540377656,4.42628664193767,0.9745259669534054,0.14396981861811292,0.04800714604804333,0.0619956718154479,330,after 6mo
M,8,70,1473.126,0.0013576571182641539,0.3285267639247332,0.9867164655975731,0.40155346754304067,0.03411389751401526,0.04194095639684444,36,after 12mo
M,8,71,1140.8716,0.0017530456538667454,1.5632104690457265,0.9818272637773158,0.22485467764718467,0.03902941737084443,0.026553894571203777,138,baseline
M,8,71,1053.1476,0.0018990690383760072,1.9573646310357966,0.9782895099519302,0.26280425251915024,0.04155341308988978,0.03441821616638466,171,dieoff
M,8,71,964.9394,0.0020726690194223596,3.3352692143880023,0.9719111574077905,0.17847156085651233,0.044311813002951735,0.09821894905535486,277,after 6mo
M,8,72,1106.9562,0.0018067562203454841,2.6837120459492256,0.9824247049138484,0.23528471207306356,0.04086528330023575,0.08933005030327086,211,baseline
M,8,72,1084.9848,0.0018433437961527205,4.007985048272699,0.9763351920571196,0.15948773053474252,0.036494654690271036,0.06530882619630318,439,dieoff
M,8,72,1039.7518,0.0019235359823373231,1.2625330181857541,0.9637306339534365,0.23354989249064376,0.03453875425614438,0.04237622687504009,188,after 6mo
M,10,81,1776.7678,0.0011256394898646856,0.104546739251156,0.9849608308491132,1.0587685032854144,0.025071970071218107,0.02227216607984866,22,baseline
M,10,81,1155.8413,0.0017303413539557723,1.0928067035482525,0.9735157428980803,0.2551107648628406,0.03058817477975111,0.023427186455810375,177,dieoff
M,10,81,1072.6639,0.001864516928368709,2.0740480919186064,0.956786495745784,0.16932341533173137,0.03363256253465341,0.04469073654133077,349,after 6mo
M,10,82,1520.4868,0.0013153682097075752,0.05041610918643822,0.9793674750970527,0.8665585241238433,0.018985713480535724,0.007529015471328292,17,baseline
M,10,82,1106.3909,0.0018076793654033126,0.5867784631383128,0.9571602671665759,0.2589261941245929,0.021536549220372896,0.016791780211493305,202,dieoff
M,10,82,1004.5776,0.001990886517875772,0.23988279839876905,0.9424337829074587,0.5227820305735558,0.027483857837235007,0.013865764766778223,63,after 6mo
M,10,82,1044.4781,0.0019148319146184108,0.10422257235078136,0.9933882853304926,4.749677381162819,0.05645219749888918,0.11754253332323876,4,after 12mo
M,10,83,1791.1472,0.001116602811873865,0.05528693396826659,0.9864878950659671,1.45235035879997,0.02580270491365289,0.015322567124216643,11,baseline
M,10,83,1225.659,0.0016317752327523396,2.51666048005604,0.9674046283328505,0.12140647126045145,0.024865806363247336,0.013781891734317094,635,dieoff
M,10,83,1172.8614,0.0017052313257133367,1.5719263788089466,0.9546453112807217,0.16365178035078315,0.028503076031756336,0.02055563531509963,367,after 6mo
M,10,84,1431.363,0.0013972695954834657,0.01520304540501571,0.9879083822076924,3.795935678269022,0.0266352888280743,0.051919222363283495,3,baseline
M,10,84,979.0648,0.002042765708664023,0.13592777555483943,0.9704605095585048,1.4273675404718513,0.03209091265039806,0.02824490059958913,22,dieoff
M,10,84,1034.2398,0.0019337875026662094,0.9189830273505535,0.9398861050817537,0.16588321249725554,0.022039944714071214,0.007242091009579811,354,after 6mo
M,10,84,1059.7452,0.001887246104063505,0.23670331620063464,0.9850436586963346,1.3046146065611404,0.05813854683100671,0.06272635028974592,12,after 12mo
M,12,53,1046.375,0.001911360649862621,1.7483522513123018,0.9793275329394243,0.2983198087155557,0.03972998462423091,0.02985283227015655,163,baseline
M,12,53,957.106,0.0020896327052593966,0.9575833034808693,0.9654018361078921,0.33516376317260654,0.04076980710404182,0.04693426589061893,114,dieoff
M,12,53,1003.9064,0.0019922176011628176,3.75064373594284,0.9643483001681709,0.12785378031610503,0.04213561713333703,0.06201125338622808,378,after 6mo
M,12,53,1092.075,0.0018313760501797037,0.9137502872733257,0.9621505138471151,0.195018457685279,0.020699235262504435,0.016338466930127412,309,after 12mo
M,12,54,991.058,0.0020180453616236386,2.64437251572672,0.9776079602585377,0.26820444607559596,0.036539901760369,0.03972762799828417,266,baseline
M,12,54,979.8776,0.002041071252164556,1.0163304940904152,0.9741076558072568,0.32102593592798057,0.03523245819301356,0.022301094350783795,126,dieoff
M,12,54,982.8904,0.0020348148684736366,3.5152934688406052,0.9628705973509771,0.11395972798274133,0.03684597205800141,0.055785637865530334,458,after 6mo
M,12,54,1032.312,0.00193739877091422,0.4778448529708184,0.9801181130511062,0.515556796153595,0.039314142001830726,0.03552956902155603,46,after 12mo
M,12,55,930.0366,0.00215045300367749,6.359536431586196,0.9820639631727608,0.1521713605314412,0.04789468598668853,0.11380579337155292,340,baseline
M,12,55,889.6764,0.002248008376978416,0.8151817521112426,0.9649442841194678,0.507332762539523,0.04346376635232146,0.029290462757608125,84,dieoff
M,12,55,964.8494,0.002072862355513721,4.535679592674383,0.9590075004273518,0.07316776172757693,0.03323440042831179,0.03891620085960976,695,after 6mo
M,12,56,1076.2026,0.001858386144021581,11.357081076989882,0.9840085470073625,0.11130684159888798,0.04822563603261974,0.2139219476899038,608,baseline
M,12,56,1121.8306,0.0017828003621937216,0.6298653528913444,0.9764409727896055,0.3934008359301897,0.03977356115280124,0.08806244427867033,64,dieoff
M,12,56,1189.2854,0.0016816821260901714,3.1079021052394964,0.9693444705805421,0.10711570783680233,0.03839551979377544,0.055547738000063164,376,after 6mo
M,12,56,1109.7458,0.0018022145251642314,1.0048786723634566,0.9824592913323674,0.34578906255439207,0.04166202701657238,0.03719266751624434,82,after 12mo
M,15,64,1047.091,0.001910053662957661,1.4371476003892842,0.9675865962075824,0.22900076457689558,0.027581094218278073,0.014544832306639287,293,baseline
M,15,64,1068.1442,0.0018724063661067485,0.7113482462069435,0.970434374169202,0.34259693525878365,0.039299731936996596,0.05759024198935766,83,dieoff
M,15,64,1046.8923,0.0019104161908536342,11.36847419573694,0.9506639199572997,0.04446898436814321,0.02881434969630098,0.025361061503939134,2467,after 6mo
M,17,89,1114.002,0.001795328913233549,0.47878789820370943,0.9705463556713362,0.364927709834801,0.026727446703024432,0.010112524140898258,102,baseline
M,17,89,1048.3978,0.0019076728318201356,0.6378453240422961,0.9598120634734881,0.33459098128924186,0.03253141574054467,0.03951326508018257,114,dieoff
M,17,89,1152.25,0.0017357344326318074,3.442648668982329,0.9604776845566719,0.10633454886024622,0.03617074901004158,0.031710412613668935,511,after 6mo
M,17,89,1186.0118,0.0016863238628823086,1.0462127837538235,0.972935123270969,0.29985613820345736,0.0278463833363432,0.02397772043278068,207,after 12mo
M,28,73,1163.1036,0.0017195372793962637,7.50003335095344,0.9846688535955865,0.13524043396556357,0.04897212779549285,0.2483129138211591,408,baseline
M,28,73,1096.892,0.001823333564288918,0.7318919957681828,0.9734208864302802,0.334295488463277,0.04712999885685771,0.03318800941396569,65,dieoff
M,28,73,1102.5241,0.0018140193035236145,2.8322598017517393,0.9716908286935997,0.1316324289033037,0.04097783317866642,0.056608905977753435,290,after 6mo
M,28,73,1220.8128,0.0016382528099312197,0.09525331070786437,0.985816346055925,0.8571398486353967,0.040100495955827466,0.035358202933283525,9,after 12mo
